Station ID,Station Name,Daily Trips (Average),Times Greater than Average
35,Streeter Dr & Grand Ave,108.75535168195718,24.57x
76,Lake Shore Dr & Monroe St,80.74085365853658,18.24x
268,Lake Shore Dr & North Blvd,53.14079422382672,12.01x
3,Shedd Aquarium,49.65732087227414,11.22x
85,Michigan Ave & Oak St,42.310457516339866,9.56x
90,Millennium Park,41.46708463949843,9.37x
177,Theater on the Lake,39.477031802120145,8.92x
341,Adler Planetarium,29.864864864864863,6.75x
6,Dusable Harbor,29.107744107744107,6.58x
43,Michigan Ave & Washington St,23.446153846153845,5.3x
623,Michigan Ave & 8th St,20.620689655172413,4.66x
2,Buckingham Fountain (Temp),20.293650793650794,4.59x
249,Montrose Harbor,20.29113924050633,4.58x
97,Field Museum,19.94983277591973,4.51x
255,Indiana Ave & Roosevelt Rd,17.928327645051194,4.05x
141,Clark St & Lincoln Ave,17.8397212543554,4.03x
2,Buckingham Fountain,16.516129032258064,3.73x
94,Clark St & Armitage Ave,16.421232876712327,3.71x
26,McClurg Ct & Illinois St,16.01423487544484,3.62x
195,Columbus Dr & Randolph St,15.34013605442177,3.47x
284,Michigan Ave & Jackson Blvd,15.328719723183392,3.46x
99,Lake Shore Dr & Ohio St,14.388278388278389,3.25x
334,Lake Shore Dr & Belmont Ave,14.238805970149254,3.22x
199,Wabash Ave & Grand Ave,13.342105263157896,3.01x
313,Lakeview Ave & Fullerton Pkwy,13.079847908745247,2.96x
329,Lake Shore Dr & Diversey Pkwy,12.844537815126051,2.9x
25,Michigan Ave & Pearson St,12.835205992509364,2.9x
52,Michigan Ave & Lake St,11.957236842105264,2.7x
289,Wells St & Concord Ln,11.91156462585034,2.69x
673,Lincoln Park Conservatory,11.827272727272728,2.67x
114,Sheffield Ave & Waveland Ave,11.820717131474103,2.67x
24,Fairbanks Ct & Grand Ave,11.491289198606271,2.6x
176,Clark St & Elm St,11.30281690140845,2.55x
69,Damen Ave & Pierce Ave,11.044368600682594,2.5x
145,Mies van der Rohe Way & Chestnut St,10.970588235294118,2.48x
157,Lake Shore Dr & Wellington Ave,10.902985074626866,2.46x
150,Fort Dearborn Dr & 31st St,10.586854460093896,2.39x
300,Broadway & Barry Ave,10.557142857142857,2.39x
117,Wilton Ave & Belmont Ave,10.47985347985348,2.37x
211,St. Clair St & Erie St,10.397849462365592,2.35x
194,Wabash Ave & Wacker Pl,10.363984674329503,2.34x
181,LaSalle St & Illinois St,10.251724137931035,2.32x
62,McCormick Place,10.171875,2.3x
192,Canal St & Adams St,10.088888888888889,2.28x
172,Rush St & Cedar St,10.03448275862069,2.27x
291,Wells St & Evergreen Ave,10.015209125475286,2.26x
4,Burnham Harbor,9.946502057613168,2.25x
126,Clark St & North Ave,9.940711462450594,2.25x
287,Franklin St & Monroe St,9.912587412587413,2.24x
34,Cannon Dr & Fullerton Ave,9.72888888888889,2.2x
110,Dearborn St & Erie St,9.701067615658364,2.19x
77,Clinton St & Madison St,9.54913294797688,2.16x
459,Lakefront Trail & Bryn Mawr Ave,9.48936170212766,2.14x
59,Wabash Ave & Roosevelt Rd,9.488805970149254,2.14x
45,Michigan Ave & Ida B Wells Dr,9.461818181818181,2.14x
196,Cityfront Plaza Dr & Pioneer Ct,9.407272727272728,2.13x
212,Wells St & Hubbard St,9.39795918367347,2.12x
81,Daley Center Plaza,9.362369337979095,2.12x
112,Green St & Randolph St,9.352941176470589,2.11x
324,Stockton Dr & Wrightwood Ave,9.270992366412214,2.09x
144,Larrabee St & Webster Ave,9.246031746031745,2.09x
340,Clark St & Wrightwood Ave,9.106870229007633,2.06x
632,Clark St & Newport St,8.926829268292684,2.02x
53,Wells St & Huron St,8.829181494661922,1.99x
210,Ashland Ave & Division St,8.710247349823321,1.97x
44,State St & Randolph St,8.651162790697674,1.95x
127,Lincoln Ave & Fullerton Ave,8.536764705882353,1.93x
36,Franklin St & Jackson Blvd,8.44943820224719,1.91x
91,Clinton St & Washington Blvd,8.443661971830986,1.91x
220,Clark St & Drummond Pl,8.438931297709924,1.91x
67,Sheffield Ave & Fullerton Ave,8.357142857142858,1.89x
173,Mies van der Rohe Way & Chicago Ave,8.257575757575758,1.87x
303,Broadway & Cornelia Ave,8.041666666666666,1.82x
56,Desplaines St & Kinzie St,7.855123674911661,1.77x
47,State St & Kinzie St,7.829787234042553,1.77x
161,Rush St & Superior St,7.786259541984733,1.76x
331,Halsted St & Clybourn Ave,7.739130434782608,1.75x
113,Bissell St & Armitage Ave,7.725409836065574,1.75x
71,Morgan St & Lake St,7.667870036101083,1.73x
140,Dearborn Pkwy & Delaware Pl,7.639285714285714,1.73x
7,Field Blvd & South Water St,7.626415094339623,1.72x
232,Pine Grove Ave & Waveland Ave,7.584362139917696,1.71x
296,Broadway & Belmont Ave,7.545081967213115,1.7x
299,Halsted St & Roscoe St,7.529644268774703,1.7x
227,Southport Ave & Waveland Ave,7.5038167938931295,1.7x
182,Wells St & Elm St,7.457142857142857,1.68x
100,Orleans St & Merchandise Mart Plaza,7.444444444444445,1.68x
229,Southport Ave & Roscoe St,7.438661710037175,1.68x
118,Sedgwick St & North Ave,7.3882352941176475,1.67x
174,Canal St & Madison St,7.37012987012987,1.67x
301,Clark St & Schiller St,7.308943089430894,1.65x
165,Clark St & Grace St,7.2592592592592595,1.64x
143,Sedgwick St & Webster Ave,7.226415094339623,1.63x
198,Green St & Madison St,7.215613382899628,1.63x
31,Franklin St & Chicago Ave (Temp),7.173913043478261,1.62x
197,Michigan Ave & Madison St,7.171003717472119,1.62x
142,McClurg Ct & Erie St,7.072289156626506,1.6x
627,LaSalle Dr & Huron St,6.938271604938271,1.57x
156,Clark St & Wellington Ave,6.8796680497925315,1.55x
13,Wilton Ave & Diversey Pkwy,6.80241935483871,1.54x
283,LaSalle St & Jackson Blvd,6.765799256505576,1.53x
260,Kedzie Ave & Milwaukee Ave,6.7555555555555555,1.53x
133,Kingsbury St & Kinzie St,6.746913580246914,1.52x
327,Sheffield Ave & Webster Ave,6.685823754789272,1.51x
338,Calumet Ave & 18th St,6.679166666666666,1.51x
115,Sheffield Ave & Wellington Ave,6.633064516129032,1.5x
225,Halsted St & Dickens Ave,6.6255506607929515,1.5x
321,Wabash Ave & 9th St,6.56640625,1.48x
639,Lakefront Trail & Wilson Ave,6.55,1.48x
49,Dearborn St & Monroe St,6.356643356643357,1.44x
286,Franklin St & Adams St (Temp),6.3546099290780145,1.44x
84,Milwaukee Ave & Grand Ave,6.347985347985348,1.43x
180,Ritchie Ct & Banks St,6.262096774193548,1.41x
51,Clark St & Randolph St,6.209964412811388,1.4x
58,Marshfield Ave & Cortland St,6.18374558303887,1.4x
226,Racine Ave & Belmont Ave,6.08300395256917,1.37x
38,Clark St & Lake St,6.076335877862595,1.37x
96,Desplaines St & Randolph St,6.069387755102041,1.37x
302,Sheffield Ave & Wrightwood Ave,6.042553191489362,1.37x
41,Federal St & Polk St,6.024,1.36x
638,Clinton St & Jackson Blvd,6.01875,1.36x
370,Calumet Ave & 21st St,5.995614035087719,1.35x
158,Milwaukee Ave & Wabansia Ave,5.987755102040817,1.35x
264,Stetson Ave & South Water St,5.908745247148289,1.33x
219,Damen Ave & Cortland St,5.904382470119522,1.33x
48,Larrabee St & Kingsbury St,5.863013698630137,1.32x
20,Sheffield Ave & Kingsbury St,5.756,1.3x
153,Southport Ave & Wellington Ave,5.737903225806452,1.3x
123,California Ave & Milwaukee Ave,5.726923076923077,1.29x
304,Broadway & Waveland Ave,5.685840707964601,1.28x
66,Clinton St & Lake St,5.671428571428572,1.28x
61,Wood St & Milwaukee Ave,5.6640625,1.28x
337,Clark St & Chicago Ave,5.645669291338582,1.28x
106,State St & Pearson St,5.557768924302789,1.26x
188,Greenview Ave & Fullerton Ave,5.520161290322581,1.25x
190,Southport Ave & Wrightwood Ave,5.517543859649122,1.25x
33,State St & Van Buren St,5.465454545454546,1.23x
621,Aberdeen St & Randolph St,5.449612403100775,1.23x
307,Southport Ave & Clybourn Ave,5.304166666666666,1.2x
74,Kingsbury St & Erie St,5.26978417266187,1.19x
60,Dayton St & North Ave,5.222641509433962,1.18x
5,State St & Harrison St,5.194214876033058,1.17x
349,Halsted St & Wrightwood Ave,5.179591836734694,1.17x
17,Honore St & Division St,5.17741935483871,1.17x
39,Wabash Ave & Adams St,5.083969465648855,1.15x
191,Canal St & Monroe St,5.054878048780488,1.14x
414,Canal St & Taylor St,5.038461538461538,1.14x
93,Sheffield Ave & Willow St,5.009174311926605,1.13x
37,Dearborn St & Adams St,5.003861003861004,1.13x
152,Lincoln Ave & Diversey Pkwy,4.99601593625498,1.13x
288,Larrabee St & Armitage Ave,4.983606557377049,1.13x
164,Franklin St & Lake St,4.95970695970696,1.12x
626,Delano Ct & Roosevelt Rd,4.943231441048035,1.12x
54,Ogden Ave & Chicago Ave,4.942857142857143,1.12x
245,Clarendon Ave & Junior Ter,4.9282051282051285,1.11x
332,Burling St (Halsted) & Diversey Pkwy (Temp),4.919431279620853,1.11x
286,Franklin St & Quincy St,4.895238095238096,1.11x
175,Wells St & Polk St,4.880341880341881,1.1x
254,Pine Grove Ave & Irving Park Rd,4.83402489626556,1.09x
240,Sheridan Rd & Irving Park Rd,4.829875518672199,1.09x
465,Marine Dr & Ainslie St,4.824074074074074,1.09x
72,Wabash Ave & 16th St,4.820627802690583,1.09x
223,Clifton Ave & Armitage Ave,4.801687763713081,1.08x
312,Clarendon Ave & Gordon Ter,4.798165137614679,1.08x
247,Shore Dr & 55th St,4.78740157480315,1.08x
116,Western Ave & Winnebago Ave,4.777310924369748,1.08x
134,Peoria St & Jackson Blvd,4.773809523809524,1.08x
168,Michigan Ave & 14th St,4.756410256410256,1.07x
128,Damen Ave & Chicago Ave,4.755102040816326,1.07x
256,Broadway & Sheridan Rd,4.68859649122807,1.06x
80,Aberdeen St & Monroe St,4.663716814159292,1.05x
359,Larrabee St & Division St,4.6286764705882355,1.05x
231,Sheridan Rd & Montrose Ave,4.621621621621622,1.04x
224,Halsted St & Willow St,4.578199052132701,1.03x
344,Ravenswood Ave & Lawrence Ave,4.577358490566038,1.03x
125,Rush St & Hubbard St,4.569565217391304,1.03x
424,Museum of Science and Industry,4.55607476635514,1.03x
87,Racine Ave & Fullerton Ave,4.512931034482759,1.02x
463,Clark St & Berwyn Ave,4.506976744186047,1.02x
46,Wells St & Walton St,4.489270386266094,1.01x
111,Sedgwick St & Huron St,4.337209302325581,0.98x
107,Desplaines St & Jackson Blvd,4.31640625,0.98x
635,Fairbanks St & Superior St,4.3007518796992485,0.97x
21,Aberdeen St & Jackson Blvd,4.275590551181103,0.97x
325,Clark St & Winnemac Ave,4.275229357798165,0.97x
672,Franklin St & Illinois St,4.254385964912281,0.96x
624,Dearborn St & Van Buren St,4.253623188405797,0.96x
120,Wentworth Ave & Cermak Rd (Temp),4.25,0.96x
16,Paulina Ave & North Ave,4.211618257261411,0.95x
